RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,AVG POINTS,TOTAL POINTS,POINTS LOST,POINTS GAINED,COUNTRY,OWGR
1,1,Jon Rahm,49,10.85,531.59,-278.15,340.59,,1
2,2,Dustin Johnson,43,8.97,385.55,-268.61,147.35,,2
3,3,Collin Morikawa,52,8.37,435.38,-159.25,315.33,,3
4,4,Patrick Cantlay,43,7.6,326.91,-164.8,242.87,,4
5,5,Xander Schauffele,48,7.6,364.75,-197.52,238.03,,5
6,6,Justin Thomas,52,7.21,374.68,-248.76,201.45,,6
7,7,Bryson DeChambeau,50,6.95,347.72,-189.77,203.73,,7
8,8,Louis Oosthuizen,47,6.11,286.94,-117.27,218.99,,8
9,9,Tony Finau,52,5.91,307.52,-150.76,248.29,,9
10,10,Brooks Koepka,42,5.8,243.57,-185.87,205.49,,10
11,11,Harris English,52,5.72,297.24,-93.83,222.04,,11
12,12,Abraham Ancer,52,5.62,292.49,-115.76,221.2,,12
13,13,Rory McIlroy,50,5.56,278.12,-229.23,185.88,,13
14,15,Viktor Hovland,52,5.51,286.45,-107.42,199.53,,14
15,14,Jordan Spieth,49,5.4,264.79,-72.19,259.66,,15
16,18,Daniel Berger,46,5.2,239.37,-110.14,147.15,,16
17,16,Tyrrell Hatton,45,5.2,234.08,-157.63,102.98,,17
18,17,Hideki Matsuyama,52,5.1,265.4,-136.87,189.49,,18
19,19,Patrick Reed,52,5.05,262.41,-190.81,153.11,,19
20,20,Webb Simpson,42,4.82,202.33,-173.49,88.07,,20
21,21,Scottie Scheffler,52,4.81,249.9,-98.47,188.91,,21
22,22,Paul Casey,50,4.46,223.14,-130.63,182.43,,22
23,23,Cameron Smith,51,4.39,223.87,-90.06,147.46,,23
24,30,Kevin Na,52,4.25,220.96,-98.9,188.89,,24
25,25,Sam Burns,49,4.09,200.23,-40.2,188.52,,25
26,24,Matthew Fitzpatrick,52,4.07,211.77,-137.61,111.75,,26
27,26,Jason Kokrak,52,4.03,209.72,-94.34,136.05,,27
28,28,Billy Horschel,52,3.86,200.5,-97.4,157.57,,28
29,27,Sungjae Im,52,3.85,200.45,-132.22,118.52,,29
30,29,Joaquin Niemann,52,3.63,188.6,-90.15,149.87,,30
31,31,Will Zalatoris,50,3.28,163.97,-49.86,132.02,,31
32,33,Corey Conners,52,3.23,168.08,-75.2,131.8,,32
33,32,Lee Westwood,52,3.15,163.64,-82.22,112.95,,33
34,35,Phil Mickelson,47,3.11,146.1,-52.39,118.64,,34
35,34,Kevin Kisner,52,3.07,159.54,-102.36,83.39,,35
